"name","primaryColor","sessionId","rating"
"Rainbow Dash","#b3e8fe","1a2ee51d-2979-4451-a3da-1083bd7b63f9","SOMEWHAT_NICE"
"Mane-iac","#7763a5","8243de30-e5bb-4012-8c30-69ef71a8730e","SKIPPED"
"Applejack","#faba62","8243de30-e5bb-4012-8c30-69ef71a8730e","VERY_NICE"
"Daring Do","#d9bf61","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_NICE"
"Mrs. Cake","#90eeff","9df2db16-9279-4949-a018-05bc25018294","VERY_NICE"
"Babs Seed","#e0a145","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_MEAN"
"Rover (Diamond Dogs)","#939393","9df2db16-9279-4949-a018-05bc25018294","NEITHER_NICE_NOR_MEAN"
"Pony of Shadows","#424242","9df2db16-9279-4949-a018-05bc25018294","VERY_MEAN"
"Changelings","#2b2b2b","9df2db16-9279-4949-a018-05bc25018294","NEITHER_NICE_NOR_MEAN"
"Big McIntosh","#d9385a","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_NICE"
"Silver Spoon","#a2b4c2","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_MEAN"
"Cockatrice","#378f90","9df2db16-9279-4949-a018-05bc25018294","VERY_MEAN"
"Princess Celestia","#fcf7f9","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_NICE"
"Capper Dapperpaws","#d1873d","9df2db16-9279-4949-a018-05bc25018294","SKIPPED"
"Mayor Mare","#d8c7a0","9df2db16-9279-4949-a018-05bc25018294","VERY_NICE"
"Shadowbolts","#32323c","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_MEAN"
"Flutterbat","#babea3","9df2db16-9279-4949-a018-05bc25018294","NEITHER_NICE_NOR_MEAN"
"Daybreaker","#fff4e3","9df2db16-9279-4949-a018-05bc25018294","VERY_MEAN"
"Starlight Glimmer","#edbcf3","9df2db16-9279-4949-a018-05bc25018294","VERY_MEAN"
"Princess Luna","#6265bb","9df2db16-9279-4949-a018-05bc25018294","SOMEWHAT_NICE"
"Daybreaker","#fff4e3","14c14386-4afc-4466-915a-e41b7b36a096","SKIPPED"
"Gilda","#af9246","14c14386-4afc-4466-915a-e41b7b36a096","VERY_MEAN"
"Starlight Glimmer","#edbcf3","14c14386-4afc-4466-915a-e41b7b36a096","VERY_NICE"
"Garble","#981926","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Apple Bloom","#f3f49b","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Chimera","#dc7c30","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Diamond Tiara","#fbc3ff","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Mayor Mare","#d8c7a0","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Smolder","#e29c25","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Big McIntosh","#d9385a","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Flim Flam Brothers","#efefa6","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Daybreaker","#fff4e3","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Maud Pie","#b8b7be","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Silverstream","#f9d8fa","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
"Nurse Redheart","#ffffff","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Fido (Diamond Dogs)","#98acba","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_MEAN"
"Starlight Glimmer","#edbcf3","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Braeburn","#f4eb88","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Spoiled Rich","#dd9ca4","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Storm King","#706d86","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Rainbow Dash","#b3e8fe","993bf795-361f-4606-9d60-9f027f18eba3","SOMEWHAT_NICE"
"Grubber","#465162","993bf795-361f-4606-9d60-9f027f18eba3","NEITHER_NICE_NOR_MEAN"
"Mane-iac","#7763a5","993bf795-361f-4606-9d60-9f027f18eba3","VERY_MEAN"
"Princess Luna","#6265bb","993bf795-361f-4606-9d60-9f027f18eba3","VERY_NICE"
"Pony of Shadows","#424242","993bf795-361f-4606-9d60-9f027f18eba3","SKIPPED"
